repository,issue_title,issue_body,labels,assignees
smart-password-manager-desktop,Add biometric authentication,Implement fingerprint and face recognition for login.,security,
Full-Stack-App-Contacts-List,Modernize to Web App,Upgrade the application from desktop to a modern web application.,feature,
Student-Activity-Webaap,Add productivity graph,Visualize student productivity over time.,feature,
spring-petclinic,Add appointment reminders,Send email reminders for upcoming appointments.,enhancement,
playwright-mcp-tests,Add cross-browser tests,Ensure compatibility with Chrome, Firefox, and Edge.,testing,
copilot-travel-agent-demo,Add travel itinerary export,Allow users to export itineraries to PDF.,feature,
turn-based-game-mcp,Add multiplayer mode,Enable real-time multiplayer games.,feature,
pets-workshop,Add onboarding guide,Create a step-by-step onboarding guide for new users.,documentation,
python-api-demo,Add API rate limiting,Prevent abuse by limiting API requests.,security,
digital-habit-tracker,Add motivational quotes,Display daily motivational quotes to users.,feature,
agents-in-sdlc,Add agent collaboration demo,Showcase agent collaboration in SDLC.,demo,
smart-bookmarks,Add bookmark sync,Sync bookmarks across devices.,feature,
awesome-copilot,Add prompt library,Curate a library of useful Copilot prompts.,enhancement,
ai-agents-for-beginners,Add lesson quizzes,Include quizzes at the end of each lesson.,education,
integrate-mcp-with-copilot,Add MCP troubleshooting guide,Document common MCP integration issues.,documentation,
basic-copilot-demos,Add demo for Copilot CLI,Show how to use Copilot CLI in workflows.,demo,
memory-game-test,Add leaderboard,Track top scores for memory game.,feature,
copilot-metrics-viewer,Add export to CSV,Allow metrics export to CSV files.,feature,
12-factor-agents,Add agent design principles,Document best practices for agent design.,documentation,
mcp-sample,Add sample MCP config,Provide a sample configuration file.,documentation,
GHAS-Businesss-App-Mapper,Add business app mapping,Map business apps to GitHub repositories.,feature,
git-sample-repo,Add git workflow guide,Document recommended git workflows.,documentation,
mcp,Add MCP server setup,Guide for setting up MCP server.,documentation,
github-copilot-study-guide,Add practice questions,Include practice questions for certification.,education,
github-copilot-demos,Add advanced Copilot demos,Showcase advanced Copilot features.,demo,
azure-bicep-custom-chat-modes,Add chat mode examples,Provide examples for custom chat modes.,documentation,
Full-Stack-App-Contacts-List,Add User Authentication,Implement user authentication for secure access.,enhancement,
Full-Stack-App-Contacts-List,Improve UI Design,Redesign the UI for better usability and accessibility.,design,
Full-Stack-App-Contacts-List,Integrate API,Connect the app to a RESTful API for data management.,integration,
Full-Stack-App-Contacts-List,Add Search Functionality,Enable users to search contacts by name or email.,feature,
Full-Stack-App-Contacts-List,Setup CI/CD Pipeline,Automate build and deployment using GitHub Actions.,devops,
Full-Stack-App-Contacts-List,Add Pagination,Implement pagination for contact list.,enhancement,
Full-Stack-App-Contacts-List,Export Contacts,Allow users to export contacts to CSV.,feature,
Full-Stack-App-Contacts-List,Import Contacts,Enable import of contacts from CSV.,feature,
Full-Stack-App-Contacts-List,Add Profile Pictures,Support profile pictures for contacts.,enhancement,
Full-Stack-App-Contacts-List,Multi-language Support,Add support for multiple languages.,i18n,
Full-Stack-App-Contacts-List,Dark Mode,Implement dark mode for UI.,design,
Full-Stack-App-Contacts-List,Accessibility Improvements,Improve accessibility for screen readers.,accessibility,
Full-Stack-App-Contacts-List,Add Contact Groups,Allow grouping of contacts.,feature,
Full-Stack-App-Contacts-List,Add Notes to Contacts,Enable users to add notes to contacts.,enhancement,
Full-Stack-App-Contacts-List,Activity Log,Track changes made to contacts.,feature,
Full-Stack-App-Contacts-List,Add Email Integration,Send emails directly from the app.,integration,
Full-Stack-App-Contacts-List,Add Phone Call Integration,Initiate phone calls from the app.,integration,
Full-Stack-App-Contacts-List,Add SMS Integration,Send SMS messages from the app.,integration,
Full-Stack-App-Contacts-List,Add Tagging,Allow users to tag contacts.,feature,
Full-Stack-App-Contacts-List,Add Reminders,Set reminders for follow-ups.,feature,
Full-Stack-App-Contacts-List,Add Birthday Notifications,Notify users of upcoming birthdays.,feature,
Full-Stack-App-Contacts-List,Add Contact Merge,Merge duplicate contacts.,enhancement,
Full-Stack-App-Contacts-List,Add Contact History,Show history of interactions.,feature,
Full-Stack-App-Contacts-List,Add Data Encryption,Encrypt sensitive contact data.,security,
Full-Stack-App-Contacts-List,Add Admin Dashboard,Create dashboard for admin users.,admin,
Full-Stack-App-Contacts-List,Add Role-Based Access,Implement role-based access control.,security,
Full-Stack-App-Contacts-List,Add Audit Trail,Log all user actions for auditing.,security,
Full-Stack-App-Contacts-List,Add API Documentation,Document all API endpoints.,documentation,
Full-Stack-App-Contacts-List,Add Unit Tests,Increase unit test coverage.,testing,
Full-Stack-App-Contacts-List,Add End-to-End Tests,Implement end-to-end tests for workflows.,testing,
Full-Stack-App-Contacts-List,Add Performance Monitoring,Monitor app performance and usage.,devops,
Full-Stack-App-Contacts-List,Add Error Logging,Log errors for troubleshooting.,devops,
Full-Stack-App-Contacts-List,Add Contact Import from Google,Enable import of contacts from Google.,integration,
Full-Stack-App-Contacts-List,Add Contact Import from Outlook,Enable import of contacts from Outlook.,integration,
Full-Stack-App-Contacts-List,Add Contact Export to PDF,Allow export of contacts to PDF.,feature,
Full-Stack-App-Contacts-List,Add Contact Export to Excel,Allow export of contacts to Excel.,feature,
Full-Stack-App-Contacts-List,Add Push Notifications,Send push notifications to users.,feature,
Full-Stack-App-Contacts-List,Add Mobile App Support,Support mobile app clients.,feature,
Full-Stack-App-Contacts-List,Add Offline Support,Enable offline access to contacts.,feature,
Full-Stack-App-Contacts-List,Add Contact Archiving,Archive old contacts.,feature,
Full-Stack-App-Contacts-List,Add Contact Restore,Restore archived contacts.,feature,
Full-Stack-App-Contacts-List,Add Contact Deletion,Allow permanent deletion of contacts.,feature,
Full-Stack-App-Contacts-List,Add Contact Sharing,Share contacts with other users.,feature,
Full-Stack-App-Contacts-List,Add Contact Import from CSV,Enable bulk import from CSV files.,feature,
Full-Stack-App-Contacts-List,Add Contact Export to CSV,Enable bulk export to CSV files.,feature,
Full-Stack-App-Contacts-List,Add Custom Fields,Allow users to add custom fields to contacts.,enhancement,
Full-Stack-App-Contacts-List,Add Contact Sorting,Sort contacts by different criteria.,enhancement,
Full-Stack-App-Contacts-List,Add Contact Filtering,Filter contacts by tags, groups, etc.,enhancement,
